JMC,JMCS,JMCD,JMCDS,JSC,JSCS,JSCD,JSCDS,AMC,AMCS,AMCD,AMCDS,ASC,ASCS,ASCD,ASDCS,JA,JAS,JAD,JADS,JM,JMS,JMD,JMDS,AA,AAS,AAD,AADS,AM,AMS,AMD,AMDS,Chl_J_M_Control,Chl_J_M_NO3,Chl_J_M_NH4,Chl_J_M_PO4,Chl_J_M_NP,Chl_J_M_Control_SD,Chl_J_M_NO3_SD,Chl_J_M_NH4_SD,Chl_J_M_PO4_SD,Chl_J_M_NP_SD,Chl_J_M_D_Control,Chl_J_M_D_NO3,Chl_J_M_D_NH4,Chl_J_M_D_PO4,Chl_J_M_D_NP,Chl_J_M_D_Control_SD,Chl_J_M_D_NO3_SD,Chl_J_M_D_NH4_SD,Chl_J_M_D_PO4_SD,Chl_J_M_D_NP_SD,Chl_J_S_Control,Chl_J_S_NO3,Chl_J_S_NH4,Chl_J_S_PO4,Chl_J_S_NP,Chl_J_S_Control_SD,Chl_J_S_NO3_SD,Chl_J_S_NH4_SD,Chl_J_S_PO4_SD,Chl_J_S_NP_SD,Chl_J_S_D_Control,Chl_J_S_D_NO3,Chl_J_S_D_NH4,Chl_J_S_D_PO4,Chl_J_S_D_NP,Chl_J_S_D_Control_SD,Chl_J_S_D_NO3_SD,Chl_J_S_D_NH4_SD,Chl_J_S_D_PO4_SD,Chl_J_S_D_NP_SD,Chl_A_M_Control,Chl_A_M_NO3,Chl_A_M_NH4,Chl_A_M_UREA,Chl_A_M_PO4,Chl_A_M_NP,Chl_A_M_Control_SD,Chl_A_M_NO3_SD,Chl_A_M_NH4_SD,Chl_A_M_UREA_SD,Chl_A_M_PO4_SD,Chl_A_M_NP_SD,Chl_A_M_D_Control,Chl_A_M_D_NO3,Chl_A_M_D_NH4,Chl_A_M_D_UREA,Chl_A_M_D_PO4,Chl_A_M_D_NP,Chl_A_M_D_Control_SD,Chl_A_M_D_NO3_SD,Chl_A_M_D_NH4_SD,Chl_A_M_D_UREA_SD,Chl_A_M_D_PO4_SD,Chl_A_M_D_NP_SD,Chl_A_S_Control,Chl_A_S_NO3,Chl_A_S_NH4,Chl_A_S_UREA,Chl_A_S_PO4,Chl_A_S_NP,Chl_A_S_Control_SD,Chl_A_S_NO3_SD,Chl_A_S_NH4_SD,Chl_A_S_UREA_SD,Chl_A_S_PO4_SD,Chl_A_S_NP_SD,Chl_A_S_D_Control,Chl_A_S_D_NO3,Chl_A_S_D_NH4,Chl_A_S_D_UREA,Chl_A_S_D_PO4,Chl_A_S_D_NP,Chl_A_S_D_Control_SD,Chl_A_S_D_NO3_SD,Chl_A_S_D_NH4_SD,Chl_A_S_D_UREA_SD,Chl_A_S_D_PO4_SD,Chl_A_S_D_NP_SD,MC_J_S_Control,MC_J_S_NO3,MC_J_S_NH4,MC_J_S_PO4,MC_J_S_NP,MC_J_S_Control_SD,MC_J_S_NO3_SD,MC_J_S_NH4_SD,MC_J_S_PO4_SD,MC_J_S_NP_SD,MC_J_S_D_Control,MC_J_S_D_NO3,MC_J_S_D_NH4,MC_J_S_D_PO4,MC_J_S_D_NP,MC_J_S_D_Control_SD,MC_J_S_D_NO3_SD,MC_J_S_D_NH4_SD,MC_J_S_D_PO4_SD,MC_J_S_D_NP_SD,ATX_J_S_Control,ATX_J_S_NO3,ATX_J_S_NH4,ATX_J_S_PO4,ATX_J_S_NP,ATX_J_S_Control_SD,ATX_J_S_NO3_SD,ATX_J_S_NH4_SD,ATX_J_S_PO4_SD,ATX_J_S_NP_SD,ATX_J_S_D_Control,ATX_J_S_D_NO3,ATX_J_S_D_NH4,ATX_J_S_D_PO4,ATX_J_S_D_NP,ATX_J_S_D_Control_SD,ATX_J_S_D_NO3_SD,ATX_J_S_D_NH4_SD,ATX_J_S_D_PO4_SD,ATX_J_S_D_NP_SD,MC_A_M_Control,MC_A_M_NO3,MC_A_M_NH4,MC_A_M_UREA,MC_A_M_PO4,MC_A_M_NP,MC_A_M_Control_SD,MC_A_M_NO3_SD,MC_A_M_NH4_SD,MC_A_M_UREA_SD,MC_A_M_PO4_SD,MC_A_M_NP_SD,MC_A_M_D_Control,MC_A_M_D_NO3,MC_A_M_D_NH4,MC_A_M_D_UREA,MC_A_M_D_PO4,MC_A_M_D_NP,MC_A_M_D_Control_SD,MC_A_M_D_NO3_SD,MC_A_M_D_NH4_SD,MC_A_M_D_UREA_SD,MC_A_M_D_PO4_SD,MC_A_M_D_NP_SD,ATX_A_S_Control,ATX_A_S_NO3,ATX_A_S_NH4,ATX_A_S_UREA,ATX_A_S_PO4,ATX_A_S_NP,ATX_A_S_Control_SD,ATX_A_S_NO3_SD,ATX_A_S_NH4_SD,ATX_A_S_UREA_SD,ATX_A_S_PO4_SD,ATX_A_S_NP_SD,ATX_A_S_D_Control,ATX_A_S_D_NO3,ATX_A_S_D_NH4,ATX_A_S_D_UREA,ATX_A_S_D_PO4,ATX_A_S_D_NP,ATX_A_S_D_Control_SD,ATX_A_S_D_NO3_SD,ATX_A_S_D_NH4_SD,ATX_A_S_D_UREA_SD,ATX_A_S_D_PO4_SD,ATX_A_S_D_NP_SD,MCC_J_S_Control,MCC_J_S_NO3,MCC_J_S_NH4,MCC_J_S_PO4,MCC_J_S_NP,MCC_J_S_Control_SD,MCC_J_S_NO3_SD,MCC_J_S_NH4_SD,MCC_J_S_PO4_SD,MCC_J_S_D_NP_SD,MCC_J_S_NP_SD,MCC_J_S_D_Control,MCC_J_S_D_NO3,MCC_J_S_D_NH4,MCC_J_S_D_PO4,MCC_J_S_D_NP,MCC_J_S_D_Control_SD,MCC_J_S_D_NO3_SD,MCC_J_S_D_NH4_SD,MCC_J_S_D_PO4_SD,ATXC_J_S_Control,ATXC_J_S_NO3,ATXC_J_S_NH4,ATXC_J_S_PO4,ATXC_J_S_NP,ATXC_J_S_Control_SD,ATXC_J_S_NO3_SD,ATXC_J_S_NH4_SD,ATXC_J_S_PO4_SD,ATXC_J_S_NP_SD,ATXC_J_S_D_Control,ATXC_J_S_D_NO3,ATXC_J_S_D_NH4,ATXC_J_S_D_PO4,ATXC_J_S_D_NP,ATXC_J_S_D_Control_SD,ATXC_J_S_D_NO3_SD,ATXC_J_S_D_NH4_SD,ATXC_J_S_D_PO4_SD,ATXC_J_S_D_NP_SD,MCC_A_M_Control,MCC_A_M_NO3,MCC_A_M_NH4,MCC_A_M_UREA,MCC_A_M_PO4,MCC_A_M_NP,MCC_A_M_Control_SD,MCC_A_M_NO3_SD,MCC_A_M_NH4_SD,MCC_A_M_UREA_SD,MCC_A_M_PO4_SD,MCC_A_M_NP_SD,MCC_A_M_D_Control,MCC_A_M_D_NO3,MCC_A_M_D_NH4,MCC_A_M_D_UREA,MCC_A_M_D_PO4,MCC_A_M_D_NP,MCC_A_M_D_Control_SD,MCC_A_M_D_NO3_SD,MCC_A_M_D_NH4_SD,MCC_A_M_D_UREA_SD,MCC_A_M_D_PO4_SD,MCC_A_M_D_NP_SD,ATXC_A_S_Control,ATXC_A_S_NO3,ATXC_A_S_NH4,ATXC_A_S_UREA,ATXC_A_S_PO4,ATXC_A_S_NP,ATXC_A_S_Control_SD,ATXC_A_S_NO3_SD,ATXC_A_S_NH4_SD,ATXC_A_S_UREA_SD,ATXC_A_S_PO4_SD,ATXC_A_S_NP_SD,ATXC_A_S_D_Control,ATXC_A_S_D_NO3,ATXC_A_S_D_NH4,ATXC_A_S_D_UREA,ATXC_A_S_D_PO4,ATXC_A_S_D_NP,ATXC_A_S_D_Control_SD,ATXC_A_S_D_NO3_SD,ATXC_A_S_D_NH4_SD,ATXC_A_S_D_UREA_SD,ATXC_A_S_D_PO4_SD,ATXC_A_S_D_NP_SD,JCA,JCAS,JCAD,JCADS,JCM,JCMS,JCMD,JCMDS,ACA,ACAS,ACAD,ACADS,ACM,ACMS,ACMD,ACMDS,
0.459949342,0.196272191,0.553559462,0.059777442,0.247389771,0.031596715,0.209949987,0.052688704,-0.495130727,0.105903911,-0.251548488,0.050169329,-0.252048287,0.062615473,-0.217941524,0.118952837,0.515981458,0.273107804,0.663274603,0.639145354,0.251943289,0.151986445,0.023517455,0.246686941,0.171335814,0.212864404,0.204025126,0.398185181,-0.622798552,0.237437748,-0.410908358,0.234962267,12.47613333,12.1608,11.54266667,12.346,12.33393333,2.059840257,0.603800276,0.321665112,0.449320969,1.051064796,7.699333333,7.4112,7.595333333,7.686,7.000666667,0.398465947,0.258318357,0.164297833,0.141029548,0.562987665,31.74666667,31.402,30.052,32.58933333,30.0862,0.394200175,0.665496306,0.991302847,0.278283628,0.873642055,17.67653333,18.696,18.51533333,17.48133333,18.636,0.459185385,0.283198399,0.792022166,0.592865733,0.247243469,428.4,408.9224,390.2232,378.216,391.928,390.88,25.08099902,19.91091293,29.46084926,8.544719073,6.475588621,7.908771839,228.64,218.766,233.67,241.3266667,216.8166667,235.672,6.148194859,1.904371112,1.918184906,0.629453025,2.689370021,4.435190789,63.812,92.108,85.45733333,75.52266667,61.45866667,77.784,0.709298245,1.622631607,6.672279104,2.018634963,0.898770518,2.616367966,46.09786667,45.99266667,46.069,49.64666667,46.134,46.84306667,2.177686605,1.638206539,0.747094372,1.966855471,2.201267211,1.367171412,0.135925217,0.174960973,0.17709228,0.228243661,0.200827296,0.015722465,0.006216631,0.004733453,0.013157112,0.029353917,0.139394778,0.175142618,0.138413892,0.229381973,0.160719963,0.014567972,0.040143662,0,0,0,0.052920136,0.022112329,0.019604387,0.020992227,0.025684828,0.012091819,0.00909404,0.015772942,0.015683029,0.025684828,0.030617394,0.022633818,0.015776538,0.024180302,,0.021063957,0.022633818,0,0.013777428,,18.05843539,16.25390781,16.32554837,17.48914674,17.37584372,16.75143788,0.636284757,0.581738991,0.512734181,0.878496834,0.242457895,0.668890791,11.47146608,12.39726788,11.71349598,8.760595125,8.407939486,7.757951948,1.420350779,0.571110008,1.06625812,0.890852572,0.499457917,0.587629082,0.595705885,0.469172367,0.39076052,0.470988771,0.413427371,0.296048672,0.118940712,0.074984478,0.041900525,0.027720287,0.010254908,0.004066971,0.233072214,0.253784252,0.183837871,0.204357124,0.277412781,0.227881846,0.05573494,0.019151339,0.018996263,0.088623534,0.050198092,0.044231097,0.004281559,0.005571651,0.005892862,0.007003631,0.006675064,0.03988447,0.009341346,0.004774982,0.047279504,0,0.033599478,0.007885866,0.009367919,0.007475636,0.013121538,0.008624166,0.031725687,0.14175102,0,0,0.001666951,0.000704169,0.000652349,0.000644144,0.000853708,0.030674312,0.01366505,0.015911325,0.056356276,0.029399716,0.001732093,0.001210624,0.00085208,0.001383207,,0.045872446,0.079922126,0,0.023238698,0,0.042153211,0.039748147,0.041836437,0.04624116,0.044334275,0.042855705,0.025369195,0.029217093,0.017403917,0.10281167,0.037441831,0.084575811,0.050172612,0.05666908,0.050128369,0.036301811,0.038779028,0.032918429,0.231019155,0.299894282,0.555868267,1.415280468,0.185715581,0.132492402,0.009335327,0.00509372,0.00457258,0.00623639,0.006726917,0.003806036,0.16768787,0.046211646,0.006279792,0.013732194,0.011409929,0.001554434,0.00505603,0.005517929,0.00399049,0.004116231,0.006013196,0.004864793,0.025593646,0.01169043,0.025426859,0.045058488,0.022804179,0.032352269,0.269,0.036,0.453,0.064,0.005,0.043,-0.200,0.009,0.423,0.172,0.422,0.058,-0.128,0.081,-0.159,0.274,
0.456101919,0.108434627,0.441814381,0.086639068,0.233017632,0.037648523,0.298313494,0.2359175,-0.555996627,0.088684775,-0.379835808,0.181831197,0.132592653,0.048138059,0.212751133,0.030658587,0.984781154,0.442741039,0.783493933,0.817778232,0.166026112,0.138344603,-0.074729462,0.188217203,1.083546,0.164062482,1.020442,0.08714085,-0.81221852,0.303708952,-0.433888405,0.178486982,31.77706667,34.57533333,30.918,30.3926,36.36126667,2.066930946,1.881458418,2.241626493,1.739071963,1.287694738,21.6284,20.76866667,21.08533333,19.46,20.17533333,1.271541385,2.314265998,0.416663467,0.690765759,1.725744799,30.294,29.728,30.266,32.20466667,26.566,1.445262606,0.647241325,1.096705977,0.920503003,2.854426037,18.44613333,18.20066667,18.11853333,17.07466667,17.67466667,0.626726536,0.357519852,0.71382352,0.800455148,0.706169322,331.032,281.704,345.256,318.0672,331.176,354.7513333,13.31766466,12.65672058,26.02226616,10.41791982,0.852703934,10.68323511,250.2133333,244.5666667,224.0066667,215.56,214.56,213.2466667,19.64226848,10.5985303,14.45178344,2.393574732,4.771708289,6.834435681,44.992,113.46,108.164,108.9133333,43.43893333,127.402,0.936720521,1.245810579,2.18651595,3.0594826,1.95390974,3.569901399,33.39933333,72.11866667,64.2,70.256,30.816,80.572,0.935435965,3.243211851,8.392025105,0.666757327,1.111282742,4.861481804,0.172740155,0.181486669,0.192520947,0.254430081,0.192534897,0.012355161,0.023172485,0.016747973,0.031497802,0.018931797,0.1266152,0.106646086,0.121056212,0.113244334,0.137248992,0.043125752,0.006796981,0.015348717,0.017438729,0.009812603,0.03677532,0.01793894,0.030463653,0.028027744,0.037786173,0.007169335,0.005813396,0.004079905,0.005255059,0.021809767,0.013787047,0.020427117,0.016515528,0.018456694,0.028540567,0.007706298,0.013685468,0.003701385,0.002559183,0.016601675,14.90997975,14.90400971,14.1547094,16.20992442,12.21932151,11.43590671,0.736740561,1.176794595,0.952168231,1.639688972,0.501119967,0.187668712,10.64774024,8.662520838,11.156107,10.05719412,12.12355727,11.83368977,1.088312242,0.36552067,1.10442247,0.790233341,0.72965037,0.131788211,0.512978477,1.993610672,1.828101484,1.865603566,0.683187926,1.048308195,0.024600197,0.138674565,0.052089358,0.085110541,0.037997076,0.042031371,0.306267002,0.798344319,0.669137146,0.867148138,0.295286392,0.427923755,0.023323012,0.115744848,0.035660499,0.175371569,0.106855213,0.02785747,0.005702124,0.006104907,0.006360964,0.00790041,0.007247418,0.008548731,0.035801924,0.015271161,0.034218033,0.013895538,0.006632436,0.006864051,0.00585946,0.006681347,0.006632301,0.007765295,0.068811115,0.019011479,0.021502117,0.021786016,0.001213947,0.000603436,0.001006531,0.000870301,0.001422351,0.004960576,0.008981806,0.003720145,0.005708899,0.007640684,0.000747422,0.001122328,0.000911527,0.00108094,0.001614773,0.012296109,0.038278904,0.005185294,0.00319716,0.023509482,0.045040902,0.052906631,0.040997722,0.050963835,0.03689676,0.032236402,0.055320552,0.092977844,0.036590519,0.157391207,0.587683423,0.017566656,0.042554648,0.035419875,0.049802567,0.046656124,0.056504275,0.055492965,0.055406647,0.034487864,0.076421189,0.330147762,0.152911772,0.019282969,0.011401549,0.017571044,0.016901201,0.017129249,0.015727548,0.00822835,0.026262046,0.111312721,0.023822995,0.027818606,0.019446689,0.011773818,0.009169854,0.011069871,0.010422697,0.012342692,0.009582243,0.005311073,0.024932772,0.03568834,0.004249332,0.263021585,0.096154839,0.005730243,0.752,0.038,0.485,0.080,-0.067,0.022,-0.186,0.042,0.812,0.067,0.749,0.234,-0.256,0.080,-0.054,0.303,
0.540056361,0.082567248,0.532724954,0.035963369,0.253266876,0.048547151,0.199065295,0.071737747,-0.506058839,0.138093118,-0.327591351,0.037344222,0.133214711,0.081124252,0.183049762,0.035262789,0.897822608,0.678307476,0.800488971,0.048307757,0.169669886,0.067966376,-0.049891425,0.243803624,0.79514,0.11102084,0.77996,0.147270152,-0.641576819,0.269999325,-0.48278778,0.147801687,83.56293333,81.48133333,80.464,105.9666667,105.7813333,4.579364505,4.70657998,5.704194013,1.343941136,7.438520402,59.67733333,33.97266667,51.938,67.41466667,76.11733333,9.258732405,2.555689426,0.910446045,4.277333957,2.53967382,44.02453333,40.756,40.608,43.61866667,41.07066667,2.050173656,2.734673167,1.51827402,2.967200551,1.280284517,22.24933333,23.77733333,23.41333333,23.116,22.76733333,1.01036649,0.208154857,1.643336579,1.665495722,0.637320781,215.08,196.1466667,200.58,162.84,184.8533333,217.6466667,18.16992387,14.49763352,25.79117937,17.41201118,7.037559549,6.581654637,166.432,151.192,168.976,137.876,160.872,143.3,9.654287338,3.288856336,4.004533431,14.35152898,4.196249754,0.700822374,32.692,124.006,117.84,116.206,36.26,155.386,2.047176592,4.455596032,1.064798572,1.853295443,1.766981607,1.920654055,63.16,62.344,68.676,66.606,23.212,160.048,12.90800744,17.41454438,3.816251564,5.411650765,1.075034883,5.322674516,0.204977135,0.245454347,0.231568853,0.200309881,0.230223488,0.028140205,0.023382084,0.009358548,0.010364292,0.013669571,0.11672286,0.125916186,0.15293975,0.130076852,0.143787947,0.004011181,0.022949232,0.015573946,0.00700088,0.01585753,0.075720275,0.106910427,0.068116689,0.182873965,0.128968387,0.026498013,0.038204589,0.020708612,0.023879728,0.049983445,0.092579328,0.053031149,0.055480207,0.037288143,0.141910591,0.042924264,0.020835987,0.017978445,0.015170187,0.056515878,9.38920329,7.359044799,8.112394523,5.659481311,6.435718382,5.09126479,1.885966253,1.281546537,2.13754804,0.605401211,0.856094081,0.240160506,10.28818633,8.832832074,8.791615587,8.466404013,8.646332629,8.201143358,0.929526491,0.906798544,1.041078585,0.729436531,0.369732605,0.507105343,0.70392462,4.430798024,2.906376626,3.777188587,0.763511913,2.192377547,0.066114617,0.038789902,0.203121512,0.13777576,0.047165558,0.243941998,0.518650266,2.820296363,1.485718645,1.939141425,0.591384751,1.43567198,0.103785944,0.088423328,0.175334195,0.048080698,0.045794834,0.141582044,0.004655975,0.006022533,0.005702543,0.004592297,0.005605545,0.013725767,0.00855023,0.006163939,0.003492953,0.024881552,0.010676979,0.005246128,0.00529564,0.006532165,0.005627135,0.006315537,0.003970026,0.110250764,0.009477028,0.004203481,0.001719956,0.002623183,0.00167742,0.004192562,0.003140158,0.012924765,0.013970441,0.013639575,0.008047898,0.039040888,0.004160993,0.002230324,0.002369599,0.001613088,0.006233079,0.042483856,0.100098491,0.010940209,0.009108512,0.088677287,0.043654469,0.037518072,0.040444683,0.034754859,0.034815268,0.02339234,0.103796046,0.088396947,0.082879034,0.034769172,0.121646442,0.036489381,0.061816155,0.058421293,0.052028783,0.06140593,0.05374666,0.057230589,0.096281213,0.275718503,0.259975002,0.050826398,0.088110248,0.723586121,0.021532015,0.035730513,0.024663753,0.032504248,0.021056589,0.014109235,0.032295512,0.008705884,0.190760504,0.074340959,0.026692727,0.127009858,0.008211689,0.045237655,0.021633739,0.029113615,0.025477544,0.008970259,0.008040431,0.005077556,0.045944087,0.008884664,0.042598463,0.026599794,0.645,0.027,0.601,0.004,-0.084,0.009,-0.373,0.142,0.723,0.053,0.714,0.117,-0.136,0.067,-0.155,0.565,
0.843519134,0.048583574,0.762623574,0.031570524,0.249411878,0.072354668,0.241892056,0.051626475,-0.561235237,0.097245521,-0.521295919,0.08515852,0.172415726,0.035939966,0.186450342,0.042382745,0.970486296,0.752449177,0.627223584,0.590720389,0.149528946,0.058685378,-0.14007483,0.161193273,0.79998711,0.063507797,0.683306,0.433792102,-0.633550809,0.251171824,-0.591894414,0.258857581,49.58386667,47.776,58.336,155.072,169.746,5.262423372,4.605569382,4.534007205,4.990901722,2.004918951,40.52066667,27.89466667,37.55133333,75.73733333,91.892,1.212196537,2.212567237,1.078871221,1.945751383,2.864026071,66.68346667,63.176,64.24666667,68.87,74.52266667,1.937460679,1.965856556,2.28841993,4.948242037,1.2478725,33.18466667,45.75266667,33.64266667,36.11866667,35.2348,1.521179075,10.77158276,1.937441038,1.405902004,1.688626298,96.99555556,77.13333333,85.50222222,70.22888889,95.40222222,107.3066667,8.559841926,5.717322606,9.886455631,6.642585766,9.268930444,5.765453951,107.5013333,70,87.456,50.51466667,102.5093333,66.89333333,4.553127765,12.71358916,3.186093115,4.299736013,8.115026827,9.990947728,29.958,137.104,127.442,126.682,36.59,196.3413333,1.84604117,6.142086943,2.806842354,3.043662925,0.403107926,1.843881895,23.97333333,87.072,79.78133333,86.85866667,25.624,169.256,2.617171331,0.84485265,2.498159678,1.308037376,0.867892466,1.60262285,0.289436152,0.287908083,0.294618298,0.35745182,0.354827528,0.028536024,0.038944897,0.018410704,0.003932371,0.023042248,0.149584643,0.139967775,0.119172753,0.150680866,0.126779877,0.042403907,0.002807242,0.029054749,0.029747512,0.002718017,0.248819638,0.424316141,0.28980874,0.385912672,0.46465203,0.037222752,0.069567443,0.048972115,0.034603531,0.095993905,0.223943118,0.237442849,0.17416286,0.158730708,0.191717953,0.068281868,0.013309211,0.008413417,0.024744925,0.050131976,2.787701033,1.421450458,2.382143725,2.614121446,2.819368335,3.321482843,0.654576872,0.428699071,0.638811026,0.643329577,1.005082411,0.687596434,3.343899587,3.373028144,2.75213876,1.483761766,4.569990476,3.277470057,0.667749794,0.581643439,0.320470112,0.353205983,0.959378614,0.383706631,0.996007221,7.985819937,5.104901527,5.191591536,1.007141717,2.807483754,0.073500663,0.295922422,0.146871464,0.123867993,0.032385407,0.168263223,0.429844585,4.53863285,2.712840534,2.945869639,0.445857052,2.537339661,0.136855051,0.197774664,0.284668325,0.030330148,0.111537956,0.520791937,0.004340448,0.004557238,0.004585737,0.00519024,0.004761337,0.014728569,0.01981065,0.00804516,0.000794701,0.001609602,0.018465226,0.004507643,0.003059227,0.00354231,0.004171828,0.003598144,0.027875684,0.000260616,0.014996456,0.021159022,0.003731354,0.006716414,0.004510876,0.005603495,0.006235043,0.019212133,0.035387853,0.021399969,0.006993096,0.076926052,0.006748391,0.005189705,0.005176845,0.0043947,0.005441153,0.044887462,0.001235585,0.004342541,0.017600747,0.029688023,0.028740503,0.018428485,0.027860606,0.037222879,0.029552439,0.030953183,0.076470673,0.074982488,0.064614767,0.096849269,0.108435641,0.119261456,0.031105657,0.048186116,0.031468839,0.02937289,0.044581214,0.048995466,0.146657381,0.045749743,0.100584038,0.082145969,0.118222482,0.038405429,0.033246786,0.05824644,0.040056665,0.040981288,0.027525054,0.014298995,0.039815289,0.048179458,0.052326225,0.040697014,0.080339296,0.091254881,0.017930113,0.052125056,0.034003449,0.033915667,0.017399979,0.014991136,0.052291208,0.234093678,0.113951213,0.023187524,0.128515871,0.324962256,0.721,0.057,0.385,0.029,-0.100,0.047,-0.249,0.015,0.628,0.043,0.703,0.051,-0.072,0.141,-0.071,1.418,
0.873982977,0.086031964,0.858202864,0.086247555,0.302345578,0.033520057,0.212313012,0.0497274,-0.470992093,0.098551222,-0.24969943,0.080129653,-0.172863294,0.018309361,-0.196006931,0.058513963,0.965129447,0.842227628,na,na,0.18972884,0.13586726,-0.079070386,0.021438871,0.296796587,0.040611106,0.158163935,0.308748922,-0.606189362,0.356765037,-0.203221772,0.21817283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.663,0.082,nd,nd,-0.113,0.002,-0.382,0.021,0.470,0.081,0.354,0.131,-0.135,0.115,0.046,0.220,
,,,,,,,,-0.430903276,0.057412227,-0.419780566,0.15053738,0.308639629,0.034922731,0.428203118,0.030683703,,,,,,,,,0.71723,0.061488062,0.58864,0.28249167,-0.539357592,0.210830741,-0.287215525,0.139440642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.441,0.091,0.375,0.327,-0.108,0.146,0.133,0.138,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
